jobName,city,company,salary,workMode,degree,experience,jobCategory,companyName,companyField,companyDevelopmentStage,companySize,companyURL,jobAdvantage,jobDescription
Java开发工程师,杭州,腾展叮咚（Dingtone）开发部招聘,15k-30k,全职,本科及以上,经验1-3年,平台/后台;J2EE;redis;Java;,杭州腾展科技股份有限公司,"移动互联网,社交网络",上市公司,50-150人,http://www.dingtone.me,"全球化产品,海量用户,上市公司,股权激励","岗位职责：1、独立完成项目的系统分析，设计，并主导完成详细设计和编码的任务，确保项目的进度和质量；2、负责移动后端API设计,开发及维护；3、从构思到执行，能够编写架构性好的后端代码。任职要求：1、本科以上学历，2年以上J2EE开发经验，有互联网或移动应用产品开发经验，尤其是大规模并发系统架构经验优先；2、Java基础扎实，熟悉io、多线程、集合等基础框架；熟练掌握Java各种开源框架Spring, iBatis等；3、熟练掌握Mysql数据库，有SQL优化经验；4、有Redis，Memcached缓存和NoSQL数据库开发使用经验；5、具有设计和开发对外API接口经验能力，同时能具备跨平台的API规范设计以及API高效调用设计能力者优先考虑；6、熟悉linux系统中的常用命令,以及在该系统下项目的部署；7、熟悉常见设计模式，有良好的设计思想和可以熟练使用Rose或Viso等UML工具；8、有良好的沟通、理解能力，有良好的团队合作精神。逻辑思维能力强，能够独立思考，能够承受一定程度的压力。&&"
Java开发工程师,上海,zilliz技术部招聘,15k-30k,全职,本科及以上,经验3-5年,服务器端;高性能;软件开发;大数据;C++;Java;,上海赜睿信息科技有限公司,"企业服务,数据服务",A轮,多家一线投资机构(A轮),http://www.zilliz.cn,"丰厚期权,行业高薪,前沿技术,精英团队",岗位描述：&&高性能JAVA服务器端程序的设计、开发和测试&&岗位要求：&&计算机相关专业本科及以上学历；&&有3年以上Java开发经验，对Java反射机制有深入了解，熟悉设计模式和面向对象开发；&&熟悉Guava、apache-commons等库的使用，熟悉各类算法和数据结构；&&熟悉MacOS、Unix/Linux操作系统以及跨平台编程；&&会使用git进行代码协同管理；&&具备良好的文档编写能力；&&有较强的独立解决问题能力、学习能力、以及沟通能力。&&具备以下经历者优先：&&985或211；&&参与过人工智能平台或大数据系统开发；&&在github上发表项目；&&在技术博客或者论坛中发表文章。&&
Java工程师,北京,拉勾网拉勾云招聘,15k-30k,全职,本科及以上,经验3-5年,高级;后端开发;Java;平台/后台;分布式;电商;,北京拉勾网络技术有限公司,"企业服务,招聘",D轮及以上,"东方弘道(C轮,天使轮)，真格基金(天使轮)，贝塔斯曼(A轮)，启明创投，贝塔斯曼(B轮)，前程无忧(D轮及以上)",http://www.lagou.com,快速发展的业务和足够的技术挑战,岗位职责：&&拉勾云系统设计、开发&&解决线上系统问题，完成部分模块重构&&我们希望你：&&人靠谱，责任心强，有自信&&有技术中长期的规划能力&&有产品意识，能技术侧输出观点，关注产品效果。&&充满好奇心，享受coding，学习能力强，有代码洁癖&&技术全面，对技术有热情，在某个技术领域有自己的见解，关注技术发展方向&&技术上：&&数据结构/算法基础扎实&&JAVA基础扎实，精通io、多线程、集合等基础框架，熟悉jvm&&熟悉Mysql，有数据库设计经验，做过SQL Tuning&&具有出色的抽象设计能力，能独立分析和解决问题&&灵活设计原则，和设计模式。&&技术栈：Spring、Mybatis、Mysql、Redis、ES、Kafka&&必备：经得起推敲的技术项目&&加分项：&&电商、SaaS产品研发经验&&
Java,上海,泛微招聘,12k-18k,全职,本科及以上,经验1-3年,Java;,上海泛微网络科技股份有限公司,"移动互联网,企业服务",上市公司,2000人以上,http://www.weaver.com.cn,美味三餐 一年两次加薪 每月拿绩效奖金,岗位职责：&&1、组织并参与电子签章产品的开发设计工作；&&2、能根据要求，带领团队完成产品的设计与开发，解决技术难题&&任职要求：&&1.本科以上学历，计算机软件相关专业，2年以上电子印章、电子签章产品研发、自定义文件格式开发相关经验；&&2.熟悉PKI/CA技术体系，熟悉电子签章技术架构；&&3.熟悉加密解密技术，包括但不限于aes、rsa，了解java安全体系；&&4.精通Java/JavaScript/PLSQL/XML/JS，熟练使用Struts/Spring/Hibernate/Ibatis等常见开源框和MVC三层架构开发模式；&&
JAVA开发工程师,南京,苏宁云商广告研发中心招聘,10k-20k,全职,本科及以上,经验5-10年,Java;架构;,南京苏宁软件技术有限公司,"O2O,移动互联网",上市公司,2000人以上,http://www.suning.com,技术氛围好，发展潜力大,岗位职责：&&1.开发广告平台相关产品，独立完成重要功能和模块的详细设计和编码的任务，确保项目的进度和质量；&&2.在团队中完成相互间的Code Review任务，确保相关代码的有效性和正确性，通过Code Review提供相关性能以及安全的建议；&&3.维护和升级现有软件产品和系统，快速定位并修复现有软件缺陷。&&岗位要求：&&1. 计算机或相关专业本科以上学历，5年以上工作经验；&&2. 熟悉JAVA基础以及现流行JAVA WEB应用主流开发框架，对其有较深入理解；&&3. 熟练使用DB2、ORACLE、MYSQL等其中一种数据库，在数据库性能优化方面有很深理解，且有实际项目经验；&&4. 熟悉各种WEB前端技术，包括Javascript、css、Ajax、JQuery等；&&5. 熟练使用Tomcat或Jboss等应用服务器；&&6. 了解Android或IOS开发技术，有相关开发经验者优先；&&7. 具备良好的沟通能力和团队协作能力，有责任心，具有较抗压能力&&
Java开发工程师,上海,链家上海研发中心招聘,15k-24k,全职,本科及以上,经验3-5年,Java;,德佑房地产经纪有限公司,企业服务,B轮,华兴资本(华晟)，百度、腾讯、中信产业基金(B轮)，万科(D轮及以上),http://sh.lianjia.com/,万亿级O2O平台 一年两次调薪 季度奖金,岗位职责：1.系统软件的系统设计与开发；2.一些自动化工具软件的开发；3.参与一些基础技术框架的讨论。任职要求：1.本科以上学历，计算机专业背景；2.熟悉Java，熟悉常用的开源框架，例如Spring MVC/Spring/myBatis；3.有一定的数据库基础，熟悉SQL Server，能设计数据库；4.热爱折腾/勇于折腾/善于折腾，敢想敢干；5.有独立分析问题和解决问题的能力；6.具备强烈的工作责任心和主动性；7.有较强的学习动力和自我提升欲望。&&
Java工程师,北京,桔子分期技术研发中心招聘,15k-30k,全职,本科及以上,经验3-5年,高级;中级;Java;MySQL;金融;支付;,北京桔子分期电子商务有限公司,"电子商务,金融",A轮,150-500人,http://www.juzifenqi.com,"平台广阔,福利丰厚","岗位职责：1.参与系统设计与研发。2.很好的编程功底，注重代码质量。根据开发规范与流程独立完成模块的设计和编码；3.确保项目目标的实现，保证项目准确、优质地完成全部任务；4.能够承受一定压力，能够以很好的状态进行技术实现。&&任职要求：1.计算机或相关专业本科以上学历，3年及以上java平台开发经验；2.熟悉JAVA相关编程，熟悉SpringMVC,MyBatis等技术；3.熟悉大流量、高并发、高负载、高可用性的分布式系统的设计开发；4.熟悉mysql数据库开发，有较强的sql编写能力；5.思维逻辑能力强，善沟通，学习能力强&&"
Java工程师,上海,zilliz技术部招聘,15k-30k,全职,本科及以上,经验3-5年,专家;大数据;C++;Java;,上海赜睿信息科技有限公司,"企业服务,数据服务",A轮,多家一线投资机构(A轮),http://www.zilliz.cn,"丰厚期权,行业高薪,前沿技术,精英团队",岗位描述：&&高性能JAVA服务器端程序的设计、开发和测试&&岗位要求：&&1. 计算机相关专业本科及以上学历；&&2. 有3年以上Java开发经验，对Java反射机制有深入了解，熟悉设计模式和面向对象开发；&&3. 熟悉Guava、apache-commons等库的使用，熟悉各类算法和数据结构；&&4. 熟悉MacOS、Unix/Linux操作系统以及跨平台编程；&&5. 会使用git进行代码协同管理；&&6. 具备良好的文档编写能力；&&7. 有较强的独立解决问题能力、学习能力、以及沟通能力。&&具备以下经历者优先：&&1. 985或211；&&2. 参与过人工智能平台或大数据系统开发；&&3. 在github上发表项目；&&4. 在技术博客或者论坛中发表文章。&&
Java,上海,有鱼金融科技招聘,12k-20k,全职,本科及以上,经验1-3年,后端开发;Java;MySQL;分布式;J2EE;,上海彩亿信息技术有限公司,"移动互联网,金融",B轮,华兴、同创、上海文化产业基金、如山资本(A轮),http://www.youyuwo.com/,年轻的团队 扁平化管理 准上市公司,"我们需要的协作--&&1、负责公司产品的功能规划、需求分析设计、技术实现和用户体验；&&2、负责所属模块的代码开发、调试与维护工作；&&3、配合测试人员对发现的问题进行修改；&&4、正确进行源代码发布和管理；&&5、良好的团队合作，完成公司产品研发工作。&&我们需要的人才--&&1、本科以上学历，2年以上JAVA开发经验&&2、有互联网行业后端开发经验优先考虑&&3、熟悉JDK，精通J2EE开发；&&4、熟练掌握一种主流数据库：MySQL、Oracle，熟悉SQL性能调优。&&5、熟练使用spring，mybatis, springMVC, 等开源框架开发。&&6、基础算法的熟练使用，如冒泡排序&&7、熟悉maven、git等工具；&&8、了解 Hadoop, Zookeeper等相关知识；&&"
Java开发工程师,杭州,远传技术IPCC产品部招聘,15k-30k,全职,本科及以上,经验5-10年,Java;MySQL;J2EE;,浙江远传信息技术股份有限公司,移动互联网,上市公司,浙江远传成功挂牌新三板，打造客户行业龙头，股票代码834841(上市公司),http://www.utry.cn,"五险一金,餐补,年终奖金,定期体检","岗位职责：&&1.理解业务，并进行需求评估、拆解和系统设计；&&2.技术框架、核心组件等关键代码的编写&&3.攻克技术难关，保障系统的高性能和稳定性；&&4.具备良好的沟通能力，可跨团队协作；&&岗位要求：&&1.有5年以上JAVA WEB开发工作经验，热爱软件开发；&&2.精通J2EE技术及原理,以及JSP/Servlet/Ajax/JavaScript/CSS/HTML等WEB开发技术；&&3.精通Struts2,Spring、Ibatis/Mybatis、Hibernate，精通MVC编程模式;&&4.精通常用数据库MYSQL、ORACLE、SQLSERVER的开发，精通存储过程的编写，具备数据库设计能力，熟练使用数据库设计工具如 PowerDesigner,caseStudio；&&5.熟悉tomcat、weblogic、jboss等主流WEB服务器；&&6.熟练编写开发文档；&&7.有项目开发小组团队管理经验者优先；&&8.具有较强的学习能力，能适应较大的工作压力，具备良好的团队精神和敬业精神。&&"
Java工程师,杭州,宗盛智能研发部招聘,13k-18k,全职,大专及以上,经验1-3年,Java;,杭州宗盛智能科技有限公司,生活服务,不需要融资,50-150人,http://www.zongs365.com,娃哈哈 自动售货机 互联网+ 发展空间大,"岗位职责：&&1、根据项目开发方案，进行系统建模、数据结构设计等，保证程序开发的规范；&&2、在保证质量的前提下按时完成上级分配的任务；&&3、负责公司后台系统的代码编写、单元测试、并积极配合测试人员进行BUG修改。&&岗位要求：&&1、三年及以上JAVA开发经验；&&2、熟悉javaEE架构和MVC开发模式，熟悉Srping，SpringMVC，mybatis等后台常用框架；&&3、基本掌握、HTML、JAVASCRIPT、CSS、AJAX、Bootstrap、JQuery等前端知识；&&4、熟悉apache、 tomcat、nginx等种应用服务器使用及配置；&&5、熟悉各种关系型、非关系型数据库，包括mongodb,mysql,redis，能够编写优化复杂的SQL语句；&&6、从事过电商、银行、线上线下对接项目、接口、同步程序优先。&&"
JAVA,上海,kargocard技术研发招聘,15k-30k,全职,本科及以上,经验5-10年,web;软件开发;Java;,创愿（上海）信息技术有限公司,"企业服务,O2O",B轮,50-150人,http://www.kargocard.com,"福利好,领导好",职位描述：&&工作职责：&&1、正确理解需求，独立完成分配任务的需求分析、软件设计、代码撰写、编程等；&&2、完成单元测试代码和相关测试代码的撰写；&&3、配合测试人员对发现的问题进行修改和改进；&&4、正确进行源代码发布和管理；&&5、良好的团队合作，完成公司产品设计和研发工作。&&任职要求：&&1、5年及以上软件开发工作经验；&&2、精通Java语言，对J2EE相关知识有深入理解；&&3、熟悉HTML5相关技术开发Web前端页面，基于HTML5编写可复用的用户界面组件，以及CSS3，JQuery，AJAX等相关前端技术；&&4、能独立进行数据库ER设计，熟练掌握复杂SQL语句操作，了解常用的数据库特点；&&5、理解常用WEB开发框架，如SpringMVC，Apache OFBiz等；&&6、熟悉Unix/Linux系统，掌握常用命令和操作。&&
JAVA开发工程师,杭州,新致软件招聘,13k-18k,全职,大专及以上,经验3-5年,Java;爬虫;中间件;分布式;redis;系统架构;,上海新致软件股份有限公司,"移动互联网,数据服务",C轮,2000人以上,http://www.newtouch.cn,五险一金 补充商业保险 年度旅游 工会活动,"工作职责&&1、参与产品需求的讨论和梳理，完成项目的系统分析、设计和开发实现，确保技术方案能够按计划要求，高质量的完成； 2、对技术有较强的钻研及学习精神，能够深入了解开源技术、现有系统技术等相关技术原理，完成系统性能优化，解决各类潜在系统技术风险，保证系统的安全、稳定、快速运行；&&任职资格&&1、3年以上的Java开发经验，对技术有热情和追求； 2、有扎实的java基础，熟悉分布式，缓存，异步消息等技术的原理，能对分布式常用技术进行合理应用，解决问题； 3、掌握多线程及高性能的设计与编码及性能调优；有高并发应用开发经验优先； 4、熟练运用Spring，MyBatis等框架进行开发工作； 5、熟练使用Linux 操作系统和常见数据库，能对复杂SQL进行性能优化； 6、熟悉Redis, MongoDB, Memcached等非关系型存储的使用；熟悉HBase、Cassandra； 7、有良好的抽象设计能力和逻辑性，善于独立分析和解决问题； 8、有良好团队合作精神，较强的责任心和抗压能力。 9、有良好的跨团队协调沟通能力&&"
Java,上海,鲁班软件研发中心招聘,15k-20k,全职,本科及以上,经验3-5年,资深;高级;中级;Java;MySQL;redis;,上海鲁班软件有限公司,企业服务,不需要融资,150-500人,http://www.lubansoft.com,技术成熟 环境舒适 技术氛围浓 发展空间大,岗位职责：&&1、根据业务需求完成后台模块的设计和开发；&&2、相关功能模块性能调优、框架调整；&&3、与前端工程师进行对接。任职要求：1、本科及以上学历，计算机相关专业，3年及以上Java开发工作经验；2、熟悉java、MYSQL、SSM （ Spring 、 SpringMVC 和 Mybatis）等；&&3、对关系型数据库、NOSQL有使用经验，熟悉HTML5、SQL优化或了解全文检索、SOA、REST、NOSQL、MongoDB、Spark、Hadoop或有分布式系统开发经验满足以上条件其中之一者即可优先考虑；4、积极主动，善于沟通，团队合作意识强，有较好的自学能力，能独立完成项目开发工作。&&
Java工程师,北京,拉勾网拉勾云招聘,15k-25k,全职,本科及以上,经验5-10年,企业服务;高级;后端开发;分布式;J2EE;SOA;,北京拉勾网络技术有限公司,"企业服务,招聘",D轮及以上,"东方弘道(C轮,天使轮)，真格基金(天使轮)，贝塔斯曼(A轮)，启明创投，贝塔斯曼(B轮)，前程无忧(D轮及以上)",http://www.lagou.com,技术挑战、工作居住证、美味果盘、运动健身,JAVA基础扎实，精通io、多线程、集合等基础框架&&负责业务模块分析设计并负责完成开发；&&需要扎实的基础，拥有良好的编码习惯；&&熟练使用Mybatis，SpringMVC等框架进行项目开发；&&熟悉SOA，熟练并使用过rpc框架；&&熟悉MySQL、Redis、消息队列；&&良好的沟通和学习能力，团队合作精神，能独立承担工作；&&
Java开发,上海,泛微招聘,12k-16k,全职,本科及以上,经验1-3年,银行;Java;,上海泛微网络科技股份有限公司,"移动互联网,企业服务",上市公司,2000人以上,http://www.weaver.com.cn,员工旅游、工作日美味三餐、舒心的工作氛围,1、2年以上开发经验&&2、熟悉基于Struts和Ibatis或者Hibernate的J2EE应用平台架构，熟练使用Spring等框架&&3、熟悉Oracle、MySql等数据库&&4、有银行、基金、证券、保险等金融业软件开发维护经验优先，有服务器和数据库优化经验者优先。&&5、有强烈的责任心，优秀的表达能力及沟通能力；&&6、熟悉软件技术文档的编写，具备良好的文档编制习惯和规范的代码书写&&7、有较强的学习和理解能力，思路清晰，善于思考，能独立分析和解决问题；&&【你关心的，我们懂】&&网传程序猿是高危行业，来泛微，不必担心！程序猿要高薪，更要健康！！&&薪资待遇——让你愉快的买买买，有钱，就是这么任性！&&精美三餐——拒绝千篇一律的快餐盒饭，拒绝新鲜打折的自带便当，拒绝街边小店的卫生堪忧，一日三餐营养均衡，我们比千里之外的双亲更能关怀到你的健康。&&每年至少一次国内外畅游——除了风情新马泰，时尚欧美灵魂尼泊尔浪漫马代都在我们的Plan A中。&&员工关怀活动——他们都在意你飞得高不高，而我们在乎的，是你飞得累不累。&&梦想——人要是没有梦想，那和咸鱼有什么分别！携手同样有梦想的你走这一程，让我们离梦想更近一步。&&价值——拥有你，就像拥有一座潜力无限的金矿，你的过往价值我们如获至宝，你的未来价值我们拭目以待。&&专业——十三年孜孜不倦，十三年持续专注，行业内知名专家团队，头脑风暴活学活用。&&千里马常有，伯乐不常有。我们有颗做伯乐的心，欢迎更多的千里马来加入！&&如果你年轻肯努力，敢想敢拼，希望不断进步；&&如果你想享受积极的工作氛围，激情的团队合作和多多的公司福利；&&如果你了解泛微，了解OA，有管理软件项目相关工作经验；&&请随时联系我们，泛微永远欢迎你！&&薪酬福利：&&1、提供有竞争力的薪资，执行相对公平合理的绩效政策和薪酬结构；&&2、其他福利：美味三餐、各种补贴、生日和节日福利、年休、优秀员工出国旅游等；&&3、作息时间：每天八小时工作制（9:00-18:00，午休1小时），双休+国家法定节假日。&&我们的诚意：&&-免费提供一日三餐，独立员工食堂，专业大厨亲自掌勺，保证膳食均衡；&&-转正既有年假，每年两次加薪机会，年终Bonus，那是必须的！&&-每月绩效奖金+研发奖金，用工资条上的数字体现你的技术和实力；&&-和你的付出相符的薪水；&&-每年一次国内旅游，优秀员工国外旅游，去年塞班岛，今年巴厘岛；&&-每年一次全面体检，关爱你的健康；&&-员工活动室（乒乓球、桌球），篮球场、浦东羽毛球馆常年场地，均免费；&&-安全舒适人体工学椅，时刻保护你的肩颈和腰椎；&&-每月至少一次团建，餐后水果，零食茶点免费供应；&&
Java开发工程师,上海,链家上海研发中心招聘,15k-24k,全职,本科及以上,经验3-5年,Java;,德佑房地产经纪有限公司,企业服务,B轮,华兴资本(华晟)，百度、腾讯、中信产业基金(B轮)，万科(D轮及以上),http://sh.lianjia.com/,万亿级O2O平台 一年两次调薪 半年度奖金,"岗位职责：1.内部软件、系统开发和维护&&任职要求：1.本科以上学历，计算机专业背景;2.有独立工作和思考能力, 有一定敏捷开发基础;3.三年以上Java开发经验，熟悉常用的开源框架Spring MVC / iBatis;4.有一定的数据库基础，能设计表与索引;5.对于系统性能调优, 局部重构有心得者佳;6.有较强的学习动力和自我提升欲望，对技术怀有浓厚兴趣并刻苦钻研;7.愿意指导同事一起工作的更佳&&"
Java工程师,杭州,zilliz技术部招聘,15k-30k,全职,本科及以上,经验3-5年,专家;大数据;C++;Java;,上海赜睿信息科技有限公司,"企业服务,数据服务",A轮,多家一线投资机构(A轮),http://www.zilliz.cn,"丰厚期权,行业高薪,前沿技术,精英团队",岗位描述：&&高性能JAVA服务器端程序的设计、开发和测试&&岗位要求：&&1. 计算机相关专业本科及以上学历；&&2. 有3年以上Java开发经验，对Java反射机制有深入了解，熟悉设计模式和面向对象开发；&&3. 熟悉Guava、apache-commons等库的使用，熟悉各类算法和数据结构；&&4. 熟悉MacOS、Unix/Linux操作系统以及跨平台编程；&&5. 会使用git进行代码协同管理；&&6. 具备良好的文档编写能力；&&7. 有较强的独立解决问题能力、学习能力、以及沟通能力。&&具备以下经历者优先：&&1. 985或211；&&2. 参与过人工智能平台或大数据系统开发；&&3. 在github上发表项目；&&4. 在技术博客或者论坛中发表文章。&&
Java工程师,上海,有鱼金融科技研发部招聘,12k-24k,全职,本科及以上,经验3-5年,开发工程师;后台开发;Java开发;初级开发工程师;Java;Java开发工程师;,上海彩亿信息技术有限公司,"移动互联网,金融",B轮,华兴、同创、上海文化产业基金、如山资本(A轮),http://www.youyuwo.com/,快来跟牛逼的团队一起战斗！,工作职责：&&1、能理解产品设计稿并参与项目需求讨论；&&2、根据开发进度和任务分配，按时高质量完成相应功能模块设计与开发实现；&&3、分析并解决软件开发过程中的问题；&&4、协助测试工程师制定测试计划，定位发现的问题；&&任职资格：&&1.计算机及相关专业本科及以上学历；&&2.精通Java语言、熟悉J2EE项目开发、精通Java设计模式；&&3.熟练掌握mysql、oracle、sqlserver等主流数据库开发，有较强的sql编写能力；&&4.精通MVC模式，熟练使用struts、Spring、Hibernate、ibatis等开源框架；&&5.熟悉linux基本操作，tomcat、apache/nginx等应用服务器基本操作及部署；&&6.喜欢新技术的学习、调研和实验，有解决产品技术难题的决心和能力，有创新能力；&&7.身体健康，具备较强的团队协作精神，工作主动性强，耐心细致，有责任心;&&
java开发工程师,上海,江苏亿科达技术部招聘,10k-20k,全职,大专及以上,经验3-5年,高级;中级;oracle;软件开发;Java;,上海海万信息科技股份有限公司,"移动互联网,金融",不需要融资,500-2000人,http://www.hiiso.com,"年终奖,体检旅游,五险一金,年假",1、精通Java/J2EE编程，熟练使用Eclipse/Git/MVN等开发工具，有2-5年以上开发经验；2、有良好的代码书写、注释和单元测试习惯；3、熟练使用oracle数据库，有redis，rocketMQ，spring，zookeeper等经验者优先；4、熟悉Linux操作系统，掌握常用的Linux命令，熟悉脚本编程Shell/Python优先；5、熟悉主流关系型数据库、NOSQL数据库的架构、开发及部署；6、熟悉分布式系统的架构，有分布式系统架构设计的经验；7、主动好学，具备良好的沟通合作技巧，较强的责任心及团队合作精神，并有一定领导经验；8、熟练掌握数据结构，操作系统，数据库原理等。&&工作地点浦东浦西都有&&
java工程师,北京,桔子分期产品技术部招聘,20k-30k,全职,本科及以上,经验3-5年,高级;中级;Java;,北京桔子分期电子商务有限公司,"电子商务,金融",A轮,150-500人,http://www.juzifenqi.com,丰厚的福利待遇 完善的发展平台,"岗位职责： 1.参与系统设计与研发； 2.很好的编程功底，注重代码质量。根据开发规范与流程独立完成模块的设计和编码； 3.确保项目目标的实现，保证项目准确、优质地完成全部任务； 4.能够承受一定压力，能够以很好的状态进行技术实现。 任职要求： 1.计算机或相关专业本科以上学历，3年及以上java平台开发经验； 2.熟悉JAVA相关编程，熟悉SpringMVC,MyBatis等技术； 3.熟悉大流量、高并发、高负载、高可用性的分布式系统的设计开发； 4.熟悉mysql数据库开发，有较强的sql编写能力； 5.思维逻辑能力强，善沟通，学习能力强。&&"
高级架构师-Java,杭州,心理壹点灵研发部招聘,25k-35k,全职,本科及以上,经验5-10年,架构师;redis;SOA;系统架构;,上海袋虎信息技术有限公司,"移动互联网,医疗健康",A轮,获得千万级融资(天使轮),http://www.yidianling.com,"爆发性行业,合伙人计划,上升空间大",职位描述：&&1）负责核心系统的架构设计，重构、优化现有的技术架构，应对海量数据与高并发。&&2）应对业务快速发展，规划制定相应地技术规划，推动系统演进&&3）解决重要项目中的关键架构问题和技术难题，负责项目中关键技术难点的攻关和预研&&4）对开发团队进行技术指导和培训&&岗位要求：&&1）精通Java语言，对io、多线程、集合等基础框架有深入理解；&&2）熟悉Spring boot、Spring cloud，对微服务架构熟悉&&3）四年以上使用JAVA进行web开发的经验，熟悉主流技术架构体系，对相关技术领域的开源产品有深入的理解 ；&&4）有大型分布式、高并发、高可用系统设计、开发和调优经验；&&5）具备较强的逻辑思维、沟通技巧、管理能力，能自我驱动；具有挑战精神，能应对业务高速发展；&&6）对技术与互联网有热情，对心理学改变世界有兴趣。&&
Java,上海,壹米滴答IT中心招聘,15k-30k,全职,本科及以上,经验3-5年,Java;,上海壹米滴答供应链管理有限公司,"企业服务,其他",B轮,普洛斯、源码资本、险峰长青(A轮)，鼎晖投资领投，普洛斯、源码资本、险峰长青、拓锋投资、GVC(B轮)，凯辉基金领投， A轮投资方源码资本、普洛斯、险峰长青(A轮),http://www.yimidida.com,福利待遇好、员工旅游、交社保,"1、根据系统需求说明书，完成系统详细设计、编码、单元测试；&&2、掌握最新的公司业务流程，确保开发能够准确的实现业务需求；&&3、遵循IT中心开发流程，提交各阶段的交付件，保质保量完成开发任务；&&4、积极主动配合测试部门的测试，进行问题的修复并提交交付件，确保系统测试工作有序开展；&&5、通过分析所负责的模块运行数据，对系统进行优化，保证系统稳定性。&&任职要求：&&1、本科及以上学历，计算机相关专业；&&2、3-5年Java开发工作经验；&&3、熟练Java开发语言、熟练Html、JavaScript、CSS等网页开发知识；&&4、精通JAVA语言，掌握Struts2,Spring,Ibatis, hibernate等主流 J2EE 开发框架，熟练运用这些技术进行 java web开发；&&5、掌握sql语法，掌握如何优化数据库，调优sql语句；&&6、掌握常用的设计模式，理解其用法，能够在实际工作中运用设计模式，保证代码的优雅；&&7、掌握JQuery、CSS等前端技术；&&8、熟悉Tomcat、JBoss等应用服务&&"
Java开发,上海,灿福科技技术中心招聘,12k-18k,全职,本科及以上,经验3-5年,中级;MySQL;金融;j2ee;通信工程;Java;,上海灿福信息科技发展有限公司,"移动互联网,数据服务",天使轮,杭州若沐(天使轮),http://www.xianjinkd.com,"技术控,领导幽默,年轻小伙伴,福利多多","岗位职责：&&1、根据业务功能，独立完成建模设计、接口设计，承担相关系统程序的性能提升、代码优化；&&2、独立完成功能开发、单元测试、Bug修复；&&3、按规范编写相关技术文档；&&4、与团队成员合作、沟通，对开发过程中的问题进行总结，共同完成项目；&&5、其他相关技术性工作。&&任职要求:&&1、大专及以上学历，计算机/通信相关专业优先；&&2、扎实的java编程基础知识，至少3年java开发经验；&&3、熟练掌握J2EE开发架构和设计模式，有较强的分析设计能力；&&4、熟练运用struts , springMvc，mybatis，ibatis等框架，对spring有较深入了解；&&5、熟悉HTML/JavaScript/CSS/JSP/XML开发技术，拥有丰富的json或Ajax开发经验；&&6、熟悉Tomcat、Jboss等应用服务器，熟悉oracle、mysql数据库；&&7、工作踏实认真，思路清晰，有良好的团队合作精神。&&加分项：&&1、优秀的代码设计能力；&&2、写过核心代码，能够独立完成模块开发；&&3、喜欢钻研技术、有独立探索技术的能力，具有良好的软件工程知识和质量意识。&&"
java开发工程师,杭州,远传技术各产品线招聘,9k-18k,全职,学历不限,经验3-5年,Java;,浙江远传信息技术股份有限公司,移动互联网,上市公司,浙江远传成功挂牌新三板，打造客户行业龙头，股票代码834841(上市公司),http://www.utry.cn,五险一金、餐补、年终奖金、定期体检,"工作职责：&&产品部均需要Java研发工程师，工作内容涵盖呼叫中心相关系统开发，技术平台开发，通信平台开发，产品开发等。&&优厚待遇+期权激励&&中级要求：&&1、具备较强的Java编码能力；开发从业经验2年以上；&&2、熟练使用spring,spring mvc,my batis等技术框架；&&3、熟悉mysql, oracle, mssqlserver至少一种，有较好的SQL脚本编写能力；&&4、具有一定的业务设计能力，有大型项目开发经验者优先；&&5、具有较强的学习能力，能适应较大的工作压力，具备良好的团队精神和敬业精神。&&高级要求：&&1、有3年以上JAVA WEB开发工作经验，热爱软件开发；&&2、精通/数据结构及算法/J2EE技术及原理,以及JSP/Servlet/Ajax/JavaScript/CSS/HTML等WEB开发技术；&&3、精通Struts2,Spring、Ibatis/Mybatis、Hibernate，精通MVC编程模式;&&4、精通常用数据库SQLSERVER、ORACLE、MYSQL的开发，精通存储过程的编写，具备数据库设计能力，熟练使用数据库设计工具如 PowerDesigner,caseStudio；&&5、熟悉weblogic、jboss、tomcat等主流WEB服务器；&&6、熟练编写开发文档；&&7、有项目开发小组团队管理经验者优先；&&8、具有较强的学习能力，能适应较大的工作压力，具备良好的团队精神和敬业精神。&&"
JAVA,上海,足记技术部招聘,13k-20k,全职,本科及以上,经验3-5年,移动互联网;Java;MySQL;j2ee;,上海如书文化传播有限公司,"移动互联网,旅游",A轮,光速安振、紫辉创投(天使轮)，成为资本、红杉资本、光源资本、光速安振等(A轮),http://www.fotoplace.cc,"团队有活力,开放式环境,无限下午茶,撸猫爱不停",1、根据需求，能够完成产品接口的设计和开发；&&2、参与项目需求分析，编写接口文档、设计文档等常用的开发文档；&&3、完善相关Java基础中间件的功能兼容度和可靠性验证。&&任职资格：&&1、本科及以上学历，3年以上的J2EE开发经验；&&2、熟悉J2EE技术体系，Java基础功底扎实，有多线程高并发开发经验，熟悉Spring、spring mvc、Mybatis等技术及原理；&&3、熟悉数据库相关技术，精通sql、熟悉 Mysql等关系型数据库，熟悉redis、mongodb等非关系型数据库；&&4、熟悉web相关应用服务器中间件：如nginx、tomcat等；&&5、有中大型移动互联网从业经验者优先；&&6、在github等开源平台发布过代码，有成功案例开发经验者优先；&&7、做事认真仔细，勤奋敬业，效率高，动作快，有较强的学习能力及沟通能力，能承受较大的工作压力。&&
